Date of Posting,Creator Name,Post Link,Views,Plays,Likes,Comments,Engagement Score,Virality Score,Transcript,Topic,Take for the topic,Hook Format,Story Telling Flow,CTA
2024-04-18,Shweta Gandhi,https://www.instagram.com/schweta.happyminds/p/33113752201/,2383298,2247197,104394,8214,4.72,100,[Transcript for 'Age-appropriate chores' — Before vs After format],Age-appropriate chores,Most parents are doing it wrong — here's what research says,Bold controversial statement,Problem > Agitate > Solve,Save this for later
2024-03-26,Rama Yadav,https://www.instagram.com/momofdiyan/p/19913326435/,2289988,1673205,279571,5647,12.45,100,[Transcript for 'Montessori at home' — Question hook format],Montessori at home,The uncomfortable truth about modern childhood,Story-based open loop,Before > Turning point > After,Share with a parent friend
2024-01-27,Ankita B Chandak,https://www.instagram.com/followyourchild/p/79091804098/,19132,17944,1844,153,10.44,5.0,[Transcript for 'Managing tantrums in public' — Stat shock format],Managing tantrums in public,The tiny habit that transformed our mornings,Bold controversial statement,Before > Turning point > After,Comment your experience below
2024-11-26,Sangeetha,https://www.instagram.com/sangeetharofficial/p/93422132416/,525264,497778,21279,2001,4.43,100,[Transcript for 'Montessori at home' — Bold controversial statement format],Montessori at home,Stop blaming yourself — it's a system problem,Stat shock,Myth > Truth > Example > CTA,Save this for later
2024-11-13,Shivani Kapoor,https://www.instagram.com/cafeparent/p/86779439419/,2291632,2777005,99077,5074,4.54,100,[Transcript for 'Nature play benefits' — Failure confession format],Nature play benefits,Stop blaming yourself — it's a system problem,Story-based open loop,Question > Answer > Evidence > CTA,Save this for later
2024-09-20,Sangeetha,https://www.instagram.com/sangeetharofficial/p/53565226151/,2003305,1546238,235460,10550,12.28,100,[Transcript for 'Language development milestones' — Before vs After format],Language development milestones,What pediatricians wish parents knew,Relatable struggle,Before > Turning point > After,Tag a mom who needs this
2025-01-25,Swati Goyal,https://www.instagram.com/iamswatigoyal_/p/53655439903/,185806,250228,21511,794,12.0,40.0,[Transcript for 'Financial literacy for kids' — Story-based open loop format],Financial literacy for kids,Science-backed method that actually works,Story-based open loop,Before > Turning point > After,Save this for later
2024-10-01,Dr Medhat Abu Shaaban,https://www.instagram.com/doctormedhat/p/95279044244/,439893,478048,26612,2559,6.63,97.0,[Transcript for 'Building emotional intelligence' — Relatable struggle format],Building emotional intelligence,The tiny habit that transformed our mornings,Question hook,Before > Turning point > After,Share with a parent friend
2024-10-20,3mguru,https://www.instagram.com/3mguru/reels/p/10525105814/,1775153,1299235,201874,10556,11.97,100,[Transcript for 'Montessori at home' — Question hook format],Montessori at home,The uncomfortable truth about modern childhood,Question hook,Hook > Story > Lesson > CTA,Tag a mom who needs this
2024-12-08,Aditi K,https://www.instagram.com/this.mamas.diary/p/90744261554/,212609,217453,22148,883,10.83,48.0,[Transcript for 'Financial literacy for kids' — Relatable struggle format],Financial literacy for kids,The tiny habit that transformed our mornings,Stat shock,Myth > Truth > Example > CTA,Comment your experience below
2024-07-12,Sneha Tapadia,https://www.instagram.com/tapadia.sneha/p/49395054282/,1314753,1747370,80136,2035,6.25,100,[Transcript for 'Unschooling vs traditional schooling' — Question hook format],Unschooling vs traditional schooling,How I changed my approach after 3 years of struggling,Question hook,Question > Answer > Evidence > CTA,Comment your experience below
2024-07-31,Arpita Axay Pithava,https://www.instagram.com/firsttimemom.official/p/26469662861/,2051577,2314946,278326,17037,14.4,100,[Transcript for 'ADHD parenting tips' — Story-based open loop format],ADHD parenting tips,Stop blaming yourself — it's a system problem,Before vs After,Hook > Story > Lesson > CTA,Follow for more parenting tips
2024-03-10,Lauren Mejia,https://www.instagram.com/motherhood.and.montessori/p/74083896190/,2156212,2628210,285191,12724,13.82,100,[Transcript for 'Sleep training methods' — Relatable struggle format],Sleep training methods,How I changed my approach after 3 years of struggling,Bold controversial statement,Problem > Agitate > Solve,Tag a mom who needs this
2024-01-26,Shivani Kapoor,https://www.instagram.com/cafeparent/p/24966240790/,1932339,2171069,206153,19301,11.67,100,[Transcript for 'ADHD parenting tips' — Stat shock format],ADHD parenting tips,What pediatricians wish parents knew,Relatable struggle,Problem > Agitate > Solve,Save this for later
